Unternehmen,Period,Revenue,SG&A,R&D,Marketcap,,,,
Apple,2024,"391,035","57,467","31,370","3,766,500",,,,
Apple,2023,"383,285","54,847","29,915","2,994,371",,,,
Apple,2022,"394,328","51,345","26,251","2,066,942",,,,
Apple,2021,"365,817","43,887","21,914","2,901,645",,,,
Apple,2020,"274,515","38,668","18,752","2,232,279",,,,
Apple,2019,"260,174","34,462","16,217","1,304,765",,,,
Apple,2018,"265,595","30,941","14,236","748,539",,,,
Apple,2017,"229,234","26,842","11,581","868,880",,,,
Apple,2016,"215,639","24,239","10,045","608,960",,,,
Apple,2015,"233,715","22,396","8,067","583,613",,,,
Microsoft Corp,2024,"245,122","32,065","29,510","3,133,853",,,,
Microsoft Corp,2023,"211,915","30,334","27,195","2,794,828",,,,
Microsoft Corp,2022,"198,270","27,725","24,512","1,787,732",,,,
Microsoft Corp,2021,"168,088","25,224","20,716","2,525,084",,,,
Microsoft Corp,2020,"143,015","24,709","19,269","1,681,606",,,,
Microsoft Corp,2019,"125,843","23,098","16,876","1,203,063",,,,
Microsoft Corp,2018,"110,360","22,223","14,726","779,674",,,,
Microsoft Corp,2017,"96,571","19,942","12,292","659,906",,,,
Microsoft Corp,2016,"91,154","19,198","11,988","483,160",,,,
Microsoft Corp,2015,"93,580","20,324","12,046","443,169",,,,
NVIDA,2024,"60,922","2,654","8,675","3,288,762",,,,
NVIDA,2023,"26,974","2,440","7,339","12,231,934",,,,
NVIDA,2022,"26,914","2,166","5,268","3,595,044",,,,
NVIDA,2021,"16,675","1,940","3,924","7,352,750",,,,
NVIDA,2020,"10,918","1,093","2,829","12,929,672",,,,
NVIDA,2019,"11,716",991,"2,376","5,760,144",,,,
NVIDA,2018,"9,714",815,"1,797","3,257,400",,,,
NVIDA,2017,"6,910",663,"1,463","4,690,440",,,,
NVIDA,2016,"5,010",602,"1,331","2,284,236",,,,
NVIDA,2015,"4,682",480,"1,360","709,299",,,,
Amazon,2024,"637,959","58,321","88,544","2,323,998",,,,
Amazon,2023,"574,785","56,186","85,622","1,570,153",,,,
Amazon,2022,"513,983","54,129","73,213","856,939",,,,
Amazon,2021,"469,822","41,374","56,052","1,691,003",,,,
Amazon,2020,"386,064","28,676","42,740","1,634,168",,,,
Amazon,2019,"280,523","24,081","35,931","916,154",,,,
Amazon,2018,"232,887","18,150","28,837","734,416",,,,
Amazon,2017,"177,866","13,743","22,620","563,535",,,,
Amazon,2016,"135,987","9,665","16,085","356,313",,,,
Amazon,2015,"107,006","7,001","12,540","316,832",,,,
Alphabet,2024,"350,018","40,696","48,789","2,317,829",,,,
Alphabet,2023,"307,394","43,087","43,709","1,755,459",,,,
Alphabet,2022,"282,836","42,291","39,500","1,145,004",,,,
Alphabet,2021,"257,637","36,422","31,562","1,921,855",,,,
Alphabet,2020,"182,527","28,998","27,573","1,185,281",,,,
Alphabet,2019,"161,857","28,015","26,018","922,946",,,,
Alphabet,2018,"136,819","23,256","21,419","723,465",,,,
Alphabet,2017,"110,855","19,733","16,625","729,458",,,,
Alphabet,2016,"90,272","15,110","13,948","539,068",,,,
Alphabet,2015,"74,989","13,423","12,282","528,448",,,,
Meta,2024,"164,501","21,087","43,619","1,478,113",,,,
Meta,2023,"134,902","23,709","36,489","909,629",,,,
Meta,2022,"116,609","27,078","33,619","315,555",,,,
Meta,2021,"117,929","23,872","24,655","935,645",,,,
Meta,2020,"85,965","18,155","18,447","778,040",,,,
Meta,2019,"70,697","15,341","13,600","585,321",,,,
Meta,2018,"55,838","11,297","10,273","376,725",,,,
Meta,2017,"40,653","7,242","7,754","512,759",,,,
Meta,2016,"27,638","5,503","5,919","331,593",,,,
Meta,2015,"17,928","4,020","4,816","295,978",,,,
Tesla,2024,"97,690",922,"4,540","1,296,350",,,,
Tesla,2023,"96,773","1,432","3,969","789,898",,,,
Tesla,2022,"81,462","2,477","3,075","388,972",,,,
Tesla,2021,"53,823","2,835","2,593","1,061,286",,,,
Tesla,2020,"31,536","2,646","1,491","668,904",,,,
Tesla,2019,"24,578","3,145","1,343","75,744",,,,
Tesla,2018,"21,461","4,517","1,460","57,153",,,,
Tesla,2017,"11,759","3,946","1,378","52,328",,,,
Tesla,2016,"7,000","4,800",834,"34,423",,,,
Tesla,2015,"4,046","5,150",718,"31,430",,,,
Intel,2024,"53,101","5,507","16,546","86,817",,,,
Intel,2023,"54,228","5,634","16,046","211,854",,,,
Intel,2022,"63,054","7,002","17,528","109,077",,,,
Intel,2021,"79,024","6,543","15,190","209,451",,,,
Intel,2020,"77,867","6,180","13,556","204,162",,,,
Intel,2019,"71,965","6,350","13,362","260,348",,,,
Intel,2018,"70,848","6,950","13,543","214,189",,,,
Intel,2017,"62,761","7,452","13,035","216,029",,,,
Intel,2016,"59,387","8,377","12,685","171,884",,,,
Intel,2015,"55,355","7,930","12,128","162,570",,,,
Cisco,2024,"53,803","13,177","7,983","235,779",,,,
Cisco,2023,"56,998","12,358","7,551","205,287",,,,
Cisco,2022,"51,557","11,186","6,774","195,710",,,,
Cisco,2021,"49,818","11,411","6,549","267,270",,,,
Cisco,2020,"49,301","11,094","6,347","189,092",,,,
Cisco,2019,"51,904","11,398","6,577","203,459",,,,
Cisco,2018,"49,330","11,386","6,332","194,810",,,,
Cisco,2017,"48,005","11,177","6,059","189,341",,,,
Cisco,2016,"49,247","11,433","6,296","151,697",,,,
Cisco,2015,"49,161","11,861","6,207","137,841",,,,
Oracle,2024,"52,961","9,822","8,915","466,085",,,,
Oracle,2023,"49,954","10,412","8,623","289,819",,,,
Oracle,2022,"42,440","9,364","7,219","220,392",,,,
Oracle,2021,"40,479","8,936","6,527","238,405",,,,
Oracle,2020,"39,068","9,275","6,067","190,450",,,,
Oracle,2019,"39,506","9,774","6,026","169,941",,,,
Oracle,2018,"39,383","9,715","6,084","162,040",,,,
Oracle,2017,"37,792","9,257","6,153","195,720",,,,
Oracle,2016,"37,047","9,039","5,787","157,735",,,,
Oracle,2015,"38,226","8,732","5,524","153,471",,,,
Salesforce,2024,"34,857","15,411","4,906","319,954",,,,
Salesforce,2023,"31,352","16,079","5,055","254,720",,,,
Salesforce,2022,"26,492","14,453","4,465","132,590",,,,
Salesforce,2021,"21,252","11,761","3,598","250,318",,,,
Salesforce,2020,"17,098","9,634","2,766","204,223",,,,
Salesforce,2019,"13,282","7,410","1,886","144,262",,,,
Salesforce,2018,"10,540","5,760","1,553","104,782",,,,
Salesforce,2017,"8,437","4,777","1,208","73,841",,,,
Salesforce,2016,"6,667","3,951",946,"47,696",,,,
Salesforce,2015,"5,374","3,437",793,"52,058",,,,
Samsung,2024,"220,883","18,197","25,694","240,915",,,,
Samsung,2023,"198,432","18,181","21,718","403,259",,,,
Samsung,2022,"234,803","18,739","19,360","294,789",,,,
Samsung,2021,"244,503","15,865","19,589","442,274",,,,
Samsung,2020,"201,100","14,589","17,928","500,282",,,,
Samsung,2019,"197,960","15,548","17,104","320,210",,,,
Samsung,2018,"221,827","17,998","16,702","228,120",,,,
Samsung,2017,"212,216","17,432","14,488","317,631",,,,
Samsung,2016,"174,223","17,678","12,179","203,974",,,,
Samsung,2015,"177,583","18,143","12,130","156,668",,,,
TSMC,2024,"90,201","3,020","6,363","850,318",,,,
TSMC,2023,"69,446","2,296","5,859","501,197",,,,
TSMC,2022,"76,159","2,134","5,492","380,344",,,,
TSMC,2021,"56,854","1,593","4,467","575,254",,,,
TSMC,2020,"45,507","1,209","3,720","489,514",,,,
TSMC,2019,"34,649",909,"2,960","286,969",,,,
TSMC,2018,"34,250",872,"2,852","191,301",,,,
TSMC,2017,"32,153",894,"2,656","200,628",,,,
TSMC,2016,"29,423",798,"2,210","145,084",,,,
TSMC,2015,"26,586",722,"2,066","113,000",,,,
Adobe,2024,"21,505","7,293","3,944","196,104",,,,
Adobe,2023,"19,409","6,764","3,473","271,632",,,,
Adobe,2022,"17,606","6,187","2,987","156,453",,,,
Adobe,2021,"15,785","5,406","2,540","269,807",,,,
Adobe,2020,"12,868","4,559","2,188","239,917",,,,
Adobe,2019,"11,171","4,125","1,930","159,654",,,,
Adobe,2018,"9,030","3,366","1,538","110,435",,,,
Adobe,2017,"7,302","2,822","1,224","86,383",,,,
Adobe,2016,"5,854","2,486",976,"51,190",,,,
Adobe,2015,"4,796","2,217",863,"46,857",,,,
Eli Lily,2024,"45,043","7,154","10,991","732,872",,,,
Eli Lily,2023,"34,124","6,941","9,313","553,370",,,,
Eli Lily,2022,"28,541","6,068","7,191","347,613",,,,
Eli Lily,2021,"28,318","6,142","7,026","264,230",,,,
Eli Lily,2020,"24,540","5,869","6,086","161,509",,,,
Eli Lily,2019,"22,320","6,004","5,595","126,190",,,,
Eli Lily,2018,"21,493","5,735","5,051","122,585",,,,
Eli Lily,2017,"19,974","6,180","5,096","92,998",,,,
